location_code,project_code
BGA940,other
BGA941,other
BGA942,other
BGA943,other
BGA944,other
BGA945,other
BGA946,other
BGA947,other
BGA948,other
BGA949,other
BGA951,other
BGA952,other
BGA953,other
BGA954,other
BGA955,other
BGA956,other
BGA957,other
BGB001,other
BGB002,other
BGB003,other
BGB004,other
BGB005,other
BGB006,other
BGB007,other
BGB008,other
BGB009,other
BGB010,other
BGB011,other
BGB012,other
BGB013,other
BGB014,other
BGB016,other
BGB017,other
BGB018,other
BGB019,other
BGB020,other
BGB021,other
BGB022,other
BGB023,other
BGB024,other
BGB025,other
BGB026,other
BGB027,other
BGB028,other
BGB029,other
BGB030,other
BGB031,other
BGB032,other
BGB033,other
BGB034,other
BGB035,other
BGB036,other
BGB037,other
BGB038,other
BGB039,other
BGB040,other
BGB041,other
BGB042,other
BGB043,other
BGB044,other
BGB045,other
BGB046,other
BGB047,other
BGB048,other
BGB049,other
BGB050,other
BGB051,other
BGB053,other
BGB054,other
BGB055,other
BGB056,other
BGB057,other
BGB058,other
BGB059,other
BGB060,other
BGB061,other
BGB062,other
BGB063,other
BGB064,other
BGB065,other
BGB066,other
BGB067,other
BGB068,other
BGB069,other
BGB070,other
BGB071,other
BGB072,other
BGB073,other
BGB074,other
BGB075,other
BGB076,other
BGB077,other
BGB078,other
BGB079,other
BGB080,other
BGB081,other
BGB082,other
BGB083,other
BGB084,other
BGB085,other
BGB086,other
BGB087,other
BGB088,other
BGB090,other
BGB091,other
BGB092,other
BGB093,other
BGB094,other
BGB095,other
BGB096,other
BGB097,other
BGB098,other
BGB099,other
BGB100,other
BGB101,other
BGB102,other
BGB103,other
BGB104,other
BGB105,other
BGB106,other
BGB107,other
BGB108,other
BGB109,other
BGB110,other
BGB111,other
BGB112,other
BGB113,other
BGB114,other
BGB115,other
BGB116,other
BGB117,other
BGB118,other
BGB119,other
BGB120,other
BGB121,other
BGB122,other
BGB123,other
BGB124,other
BGB125,other
BGB127,other
BGB128,other
BGB129,other
BGB130,other
BGB131,other
BGB132,other
BGB133,other
BGB134,other
BGB135,other
BGB136,other
BGB137,other
BGB138,other
BGB139,other
BGB140,other
BGB141,other
BGB142,other
BGB143,other
BGB144,other
BGB145,other
BGB146,other
BGB147,other
BGB148,other
BGB149,other
BGB150,other
BGB151,other
BGB152,other
BGB153,other
BGB154,other
BGB155,other
BGB156,other
BGB157,other
BGB158,other
BGB159,other
BGB160,other
BGB161,other
BGB162,other
BGB164,other
BGB165,other
BGB166,other
BGB167,other
BGB168,other
BGB169,other
BGB170,other
BGB171,other
BGB172,other
BGB173,other
BGB174,other
